Source,Updated,Provider,Organization_Name,Location_Address,Location_Directions,Longitude,Latitude,Email,Phone,Website,Location_Services
REAP Atlas,2022,Farm/Producer,Blue Moon Community Farm,3856 Schneider Dr Stoughton WI 53589,"https://www.google.com/maps/dir//42.96238,-89.3012",-89.3012,42.96238,bluemooncommunityfarm@yahoo.com,(608) 446-6962,https://www.bluemooncommunityfarm.com,"Blue Moon is a certified organic CSA and market farm on Madisons southern edge. We grow over 40 different vegetables, and we are known for the cleanliness and quality of our produce. Join our CSA or visit our stand on Saturdays at the Westside Community Market in Madison."
REAP Atlas,2022,Restaurant/Bakery,Brasserie V,1923 Monroe St Madison WI 53711,"https://www.google.com/maps/dir//43.06403,-89.4202",-89.4202,43.06403,Information unavailable,(608) 255-8500,https://www.brasseriev.com,"Brasserie V is a casual neighborhood eatery on historic Monroe Street offering 300 world-class craft beers and a French and Belgian-inspired menu. They source Wisconsins best meats, cheeses, and vegetables to create seasonal menus based on farm products available throughout the year."
REAP Atlas,2022,Restaurant/Bakery,Brix Cider,119 S. 2nd St Mount Horeb WI 53572,"https://www.google.com/maps/dir//43.00723,-89.7379",-89.7379,43.00723,marie@brixcider.com,(608) 437-BRIX,https://brixcider.com,"We are a hard cider producer with a farm-to-table restaurant. In addition, we provide local and organic groceries inside our store. We support over 60 local and regional food producers as well as local artists and musicians."
REAP Atlas,2022,Restaurant/Bakery,Cadre,2540 University Ave Madison WI 53705,"https://www.google.com/maps/dir//43.07249,-89.4297",-89.4297,43.07249,info@cadrerestaurant.com,(608) 819-8555,https://cadrerestaurant.com,"Founded in the Fall of 2019, Cadre is a French-inspired restaurant located in the Regent neighborhood of Madison, Wisconsin. Cadre's mission is to create a welcoming and educational dining experience using locally-sourced, respectfully prepared ingredients."
REAP Atlas,2022,Farm/Producer,"Carandale Farm, LLC",1046 Tipperary Rd Oregon WI 53575,"https://www.google.com/maps/dir//42.91151,-89.4482",-89.4482,42.91151,cdsecher@gmail.com,(608) 345-7391,http://carandalefarm.com,"Be our guests at our family farm, located at the south end of Fish Hatchery Rd. to pick your own, or purchase prepicked strawberries. Visit us at the Dane County Farmers Market on the square to purchase other fruits, many are uncommon (www.uncommonfruit.cias.wisc.edu), some are certified organic, and all are grown with minimal or no pesticides."
REAP Atlas,2022,Business/Organization,Center for Integrated Agricultural Systems (CIAS),1535 Observatory Dr Madison WI 53706,"https://www.google.com/maps/dir//43.07633,-89.4116",-89.4116,43.07633,Information unavailable,(608) 262-5200,https://cias.wisc.edu,"CIAS is breaking new ground in research and education for profitable farms and businesses, resilient landscapes, and healthy communities. Our work has shown that farmers can cut costs, increase profits, and improve their quality of life while enhancing the environment. We are part of the UW-Madison College of Agricultural and Life Sciences."
REAP Atlas,2022,Farmers' Market,Cross Plains Farmers' Market,2404 Main St Cross Plains WI 53528,"https://www.google.com/maps/dir//43.11143,-89.6459",-89.6459,43.11143,crossplainsfm@gmail.com,(608) 798-4308,Information unavailable,"The Cross Plains Farmers Market is an outdoor market lead by the Cross Plains LIFE Foundation. The market has vendors offering fresh fruits and veggies, preserves, baked goods, flowers and more! Outdoor"
REAP Atlas,2022,Farmers' Market,Dane County Farmers' Market - Holiday Market,1 John Nolen Dr Madison WI 53701,"https://www.google.com/maps/dir//43.07192,-89.3794",-89.3794,43.07192,info@dcfm.org,(608) 455-1999,http://dcfm.org,"The award-winning Dane County Farmers' Market has been a Madison tradition since 1972. With more than 265 members, the DCFM provides the best of each season's bounty. As the nation's largest producer-only farmers' market, everything for sale at the Market has been grown, raised, and made by the member behind the stand. There is no resale permitted. Approximately 60 - 70 members vend each Saturday at our Holiday Market. We are operating four total dates in 2022 at the Monona Terrace: 11/19, 12/3, 12/10, and 12/17 Accepts EBT|Indoor"
REAP Atlas,2022,Farmers' Market,Dane County Farmers' Market - Late Winter Market,3241 Garver Green Madison WI 53704,"https://www.google.com/maps/dir//43.0949,-89.3346",-89.3346,43.0949,info@dcfm.org,(608) 455-1999,http://dcfm.org,"The award-winning Dane County Farmers' Market has been a Madison tradition since 1972. With more than 265 members, the DCFM provides the best of each season's bounty. As the nation's largest producer-only farmers' market, everything for sale at the DCFM has been grown, raised, and made by the member behind the stand. On 1/8/22 and 1/15/22 the market is open from 7:30 am to 11:30 am. Accepts EBT|Indoor"
REAP Atlas,2022,Farmers' Market,Dane County Farmers' Market - Wednesday Market,200 Block of MLK Jr Blvd Madison WI 53703,"https://www.google.com/maps/dir//43.07291,-89.3818",-89.3818,43.07291,info@dcfm.org,(608) 455-1999,http://www.dcfm.org,"The award-winning Dane County Farmers' Market has been a Madison tradition since 1972. With more than 265 members, the DCFM provides the best of each season's bounty. As the nation's largest producer-only farmers' market, everything for sale at the Market has been grown, raised, and made by the member behind the stand. There is no resale permitted. Approximately 25-40 members vend each Wednesday.
For up-to-date details regarding our outdoor Wednesday market, please visit dcfm.org. Accepts EBT|Accepts WIC|Accepts Senior FMNP|Outdoor"
REAP Atlas,2022,Farmers' Market,DeForest Farmers Market,120 S. Stevenson St DeForest WI 53532,"https://www.google.com/maps/dir//43.24693,-89.3404",-89.3404,43.24693,farmersmarket@vi.deforest.wi.us,(608) 509-5324,http://www.vi.deforest.wi.us/farmersmarket,"Welcome to the DeForest Farmers Market. The DeForest Farmers Market goal is to bring local farm fresh produce, baked goods, meats and more to you weekly. The market also has weekly themes/specials, food carts and musical entertainment. It truly is fun for the entire family. Not only is this an opportunity to support local farmers and businesses but also a chance to meet up with neighbors, friends and colleagues and enjoy that sense of community that DeForest is known for, Growing the Good Life. Accepts EBT|Outdoor"
REAP Atlas,2022,Farm/Producer,"Door Creek Orchard, LLC",3252 Vilas Rd Cottage Grove WI 53527,"https://www.google.com/maps/dir//43.02483,-89.2235",-89.2235,43.02483,liz@doorcreekorchard.com,(608) 838-4762,http://doorcreekorchard.com,"The Griffith Family of Door Creek Orchard grow 90ish varieties of apples, modern and heirloom. Grapes, pears, and fresh, unpasteurized apple cider are also available. Naturally colored yarn is available from our Black Welsh Mountain sheep. All produce is sustainably grown with TLC and the absolute minimum of chemicals. We have been in business since 1984."
REAP Atlas,2022,Farm/Producer,Dreamfarm LLC,8877 Table Bluff Rd Cross Plains WI 53528,"https://www.google.com/maps/dir//43.14244,-89.6755",-89.6755,43.14244,diana@dreamfarm.biz,(608) 767-3442,http://www.dreamfarm.biz,"Dreamfarm is a 25 acre, certified organic family farm. We raise dairy goats and a Jersey cow and craft farmstead cheeses in our licensed, on-farm cheese plant. We also raise laying hens and ducks for eggs, market hogs that are fed our whey from cheesemaking, and steers that graze wooded pastures."
REAP Atlas,2022,Farm/Producer,"Dreamy 280 Farm Fresh Meats, LLC",2792 Cave of the Mounds Rd Blue Mounds WI 53517,"https://www.google.com/maps/dir//43.00835,-89.8072",-89.8072,43.00835,dreamy280@gmail.com,(608) 437-8074,https://www.Dreamy280.com,"Our family's 280 acre farm with an on-site farm store is only 20 minutes from Madison. Our farm store offers beef, chicken, pork, cheese and 100+ other local products. Additionally, we offer meat bundles, quarter, half, and whole beef, holiday meats, and gift boxes. We also sell seasonal sunflowers which are grown at Dreamy 280. We partner with local restaurants for beef on their menus and sell to wholesale markets. Farm store hours: Wednesday 2-6 and Saturdays 8-noon."
REAP Atlas,2022,Farmers' Market,Eastside Farmers' Market,202 S. Ingersoll St Madison WI 53703,"https://www.google.com/maps/dir//43.08314,-89.3673",-89.3673,43.08314,efmmanager@gmail.com,,http://eastsidefarmersmarket.org/,Accepts EBT|Accepts WIC|Accepts Senior FMNP|Outdoor
REAP Atlas,2022,Business/Organization,Edible Madison,4313 Somerset Ln Madison WI 53711,"https://www.google.com/maps/dir//43.04854,-89.4491",-89.4491,43.04854,hello@ediblemadison.com,(608) 347-9300,https://www.ediblemadison.com,Edible Madison magazines mission is to celebrate and promote the abundance of local foods in southwestern Wisconsin. We share stories of our regions unique food culture and the people who make it possible. Subscribe and join a community of eaters who care about our local foodshed!
REAP Atlas,2022,Farm/Producer,Elderberry Hill Farm,5795 River Rd Waunakee WI 53597,"https://www.google.com/maps/dir//43.17556,-89.3846",-89.3846,43.17556,elderberryhillfarm@gmail.com,(608) 772-4461,Information unavailable,"We are a diversified vegetable farm near Madison, growing in the beautiful soil on the North side of Lake Mendota, near the Cherokee Marsh. We focus on growing delicious, beautiful varieties and deliver our freshly harvested produce to restaurants in Madison. Please contact us if you are interested in convenient deliveries of our high quality, locally grown vegetables."
REAP Atlas,2022,Farm/Producer,"Eplegaarden, LLC",2227 Fitchburg Rd Fitchburg WI 53575,"https://www.google.com/maps/dir//42.97586,-89.4745",-89.4745,42.97586,eplegaardenllc@gmail.com,(608) 845-5966,http://www.eplegaarden.com/,"Eplegaarden is your local pick your own orchard! Located in beautiful Dane County, we connect guests to high quality and fresh produce on the farm. Throughout the fall we also have U-pick raspberries and pumpkins, a full retail space, and on-farm events. Come out for all your fall family fun needs. Mange Takk!"
REAP Atlas,2022,Business/Organization,FairShare CSA Coalition,"303 S. Paterson St, #1B Madison WI 53703","https://www.google.com/maps/dir//43.08013,-89.3699",-89.3699,43.08013,info@csacoalition.org,(608) 226-0300,https://csacoalition.org,"FairShare is a coalition of 40+ Community Supported Agriculture (CSA) farms that provide local, organic CSA shares to consumers across Wisconsin. On our website, you can find farm profiles, a custom farm search and an interactive pickup locations map to help you choose a farm. CSA rebates are offered to members of local health insurance partners, and we assist limited-income households in purchasing CSA shares through our Partner Shares Program."
REAP Atlas,2022,Business/Organization,Family Farm Defenders,P.O. Box 1772 Madison WI 53701,"https://www.google.com/maps/dir//43.07495,-89.3864",-89.3864,43.07495,familyfarmdefenders@yahoo.com,(608) 260-0900,https://www.familyfarmdefenders.org,"FFD's mission is to create a farmer-controlled and consumer-oriented food and fiber system, based upon democratically controlled institutions that empower farmers to speak for and respect themselves in their quest for social and economic justice. To this end, FFD supports agroecology, farm/food worker rights, animal welfare, consumer safety, fair trade, and food sovereignty."
REAP Atlas,2022,Business/Organization,FEED Kitchens,1219 N. Sherman Ave Madison WI 53704,"https://www.google.com/maps/dir//43.11324,-89.363",-89.363,43.11324,feedmanager@feedkitchens.org,(608) 204-7017,https://feedkitchens.org,"FEED Kitchens is a shared use commercial kitchen, food business incubator. With 5 commercial production spaces available 24/7, FEED supports food entrepreneurs in business startup, licensing, sourcing, production, finance, and marketing. Supporting a stronger and more resilient local food system, FEED offers membership to commercial businesses, nonprofits, and community groups/families."
REAP Atlas,2022,Farmers' Market,Fitchburg Center Farmers' Market,5511 E. Cheryl Pkwy Fitchburg WI 53711,"https://www.google.com/maps/dir//43.00525,-89.4239",-89.4239,43.00525,steven.leverentz@promega.com,(608) 277-2592,https://fitchburgmarket.wordpress.com/,"Located under the Agora Pavilion, shoppers can stroll through an abundance of each season's offerings and colors. Watch for special events on the third Thursday of each month featuring live music and local charitable fundraisers. Market moves indoors Nov and; Dec to the Promega BTC Atrium. Accepts WIC|Accepts Senior FMNP|Outdoor"
REAP Atlas,2022,Farmers' Market,Fitchburg Center Indoor Farmers' Market,5445 E. Cheryl Pkwy Fitchburg WI 53711,"https://www.google.com/maps/dir//43.0042,-89.4182",-89.4182,43.0042,steven.leverentz@promega.com,(608) 277-2592,https://fitchburgmarket.wordpress.com/,This community market is located under the iconic Agora Pavilion. Shoppers can stroll through the abundance of each seasons offerings. Visit with neighbors and friends while enjoying the beautiful prairie and pond setting. The market draws an average of 25 vendors from all over Southern Wisconsin selling everything from produce to flowers to baked goods and more. Special events on the third Thursday of the month. Free parking. Restrooms. ATM. Accepts WIC|Accepts Senior FMNP|Indoor
REAP Atlas,2022,Restaurant/Bakery,Forage Kitchen - Hilldale,715 Hilldale Way Madison WI 53705,"https://www.google.com/maps/dir//43.07486,-89.4533",-89.4533,43.07486,bryan@foragemadison.com,(608) 819-6223,https://www.foragemadison.com,"A healthy, fast, casual restaurant in Madison focusing on salads, grain bowls, a̤ai bowls, juices, and smoothies utilizing local products from farms and small businesses throughout the state."
REAP Atlas,2022,Restaurant/Bakery,Forage Kitchen - Middleton,8430 Old Sauk Road Middleton WI 53562,"https://www.google.com/maps/dir//43.07545,-89.5289",-89.5289,43.07545,faith@foragemadison.com,(608) 820-1210,https://www.foragemadison.com,"A healthy, fast, casual restaurant in Middleton focusing on salads, grain bowls, acai bowls, juices, and smoothies utilizing local products from farms and small businesses throughout the state."
REAP Atlas,2022,Restaurant/Bakery,Forage Kitchen - Monona,800 W. Broadway Monona WI 53713,"https://www.google.com/maps/dir//43.04805,-89.3373",-89.3373,43.04805,faith@foragemadison.com,(608) 230-6782,https://www.foragemadison.com,"A healthy, fast, casual restaurant in Monona focusing on salads, grain bowls, acai bowls, juices, and smoothies utilizing local products from farms and small businesses throughout the state."
REAP Atlas,2022,Restaurant/Bakery,Forage Kitchen - State Street,665 State St Madison WI 53703,"https://www.google.com/maps/dir//43.07497,-89.397",-89.397,43.07497,jeff@foragemadison.com,(608) 286-1455,https://www.foragemadison.com,"A healthy, fast, casual restaurant in downtown Madison focusing on salads, grain bowls, acai bowls, juices, and smoothies utilizing local products from farms and small businesses throughout the state."
REAP Atlas,2022,Farm/Producer,"Gentle Breeze Honey, Inc.",2123 Town Hall Rd Mount Horeb WI 53572,"https://www.google.com/maps/dir//42.9716,-89.6758",-89.6758,42.9716,gentlebreezehoney@gmail.com,(608) 832-4876,http://gentlebreezehoney.com,"Explore beautiful southwestern Wisconsin and marvel at the hayfields prairies, forests small produce farms, and home gardens -- These are the floral sources for our ""purely delicious"" Gentle Breeze Honey. Come visit us on the farm to discover our array of superior honey and beeswax products offered at a fair value!"
REAP Atlas,2022,Restaurant/Bakery,Giant Jones Brewing Company,"931 E. Main St, Suite 9 Madison WI 53703","https://www.google.com/maps/dir//43.08252,-89.3703",-89.3703,43.08252,beer@giantjones.com,(608) 620-5172,https://giantjones.com,"Women-owned and operated, we are Wisconsin's only Certified Organic brewery. Our brewery and tasting room is located on Madison's near-East side, where we produce big beers for everyone. Big on flavor and big on community, we donate proceeds to local organizations advancing racial and social justice initiatives. We advance environmental justice through organic certification, shared solar, and participating in the Artisan Grain Collaborative to develop the local grain shed."
REAP Atlas,2022,Restaurant/Bakery,Grampa's Pizzeria,1374 Williamson St Madison WI 53703,"https://www.google.com/maps/dir//43.08558,-89.3615",-89.3615,43.08558,info@grampaspizzeria.com,(608) 283-9580,https://www.grampaspizzeria.com,"GRAMPAS is an artisan pizzeria on Willy Street focusing on quality ingredients, warm service, and atmosphere. Owner Gilbert Altschul puts his own spin on a family pizza recipe passed down from his grampa bill. Grampa's also grows many herbs, vegetables and flowers in their garden on site for use in the restaurant and neighboring Gib's Bar."
REAP Atlas,2022,Restaurant/Bakery,Graze,1 S. Pinckney St Madison WI 53703,"https://www.google.com/maps/dir//43.07564,-89.3832",-89.3832,43.07564,info@grazemadison.com,(608) 251-2700,https://www.grazemadison.com,"Chef Tory Miller's love letter to New York Gastropubs, Graze serves comfort-food favorites in a casual, yet upscale atmosphere. Celebrating over 10 years on the Capitol Square, enjoy Friday night fish fry, craft cocktails, and more -- all sourced locally from our farmer and producer partners."
REAP Atlas,2022,Restaurant/Bakery,Great Dane Brew Pub,123 Doty St Madison WI 53703,"https://www.google.com/maps/dir//43.07438,-89.3801",-89.3801,43.07438,Information unavailable,(608) 284-0000,https://greatdanepub.com,"The Great Dane is Wisconsin's #1 Brewpub Company! Local and global pub fare, made and served with care. 15+ awesome beers made in-house. Award-winning outdoor garden dining. Kid's, gluten free and late-night menus. Giving back to the community for over 20 years! 4 Madison area locations (Downtown, Eastside, Fitchburg, and Hilldale)"
REAP Atlas,2022,Restaurant/Bakery,Grumpy Troll Brew Pub,105 S. 2nd St Mount Horeb WI 53572,"https://www.google.com/maps/dir//43.00133,-89.7384",-89.7384,43.00133,brewmaster@thegrumpytroll.com,(608) 437-2739,https://www.thegrumpytroll.com,Award Winning Brewpub Restaurant and Pizzeria that likes to incorporate and use local ingredients whenever we can!
REAP Atlas,2022,Business/Organization,Healthy Food for All,1219 N. Sherman Ave Madison WI 53704,"https://www.google.com/maps/dir//43.11297,-89.363",-89.363,43.11297,feedmanager@feedkitchens.org,(608) 204-7017,https://www.hffadane.org,"Operating out of FEED Kitchens, Healthy Food for All works to reduce food waste and feed our community through the recovery of excess food in our local system. Healthy Food for All specializes in the recovery or prepared food from large cafeterias and events as well as excess produce from local farms. All food is redistributed to the community at no cost through community centers, food pantries, and other organizations."
REAP Atlas,2022,Business/Organization,Heartland Credit Union,5325 High Crossing Blvd Madison WI 53718,"https://www.google.com/maps/dir//43.14017,-89.2874",-89.2874,43.14017,eBranch@heartlandcu.org,(800) 362-3944,https://heartlandcu.org,"Heartland is a member-owned financial cooperative specializing in farm and producer lending. We also offer Checking/Savings Accounts, Home Loans, Credit Cards, and more. Our mission is to provide our members with quality, cost-effective, personalized financial services that contribute to their social and economic well-being. Offices located throughout southern Wisconsin."
REAP Atlas,2022,Restaurant/Bakery,Herbiery,123 W. Gorham St Madison WI 53703,"https://www.google.com/maps/dir//43.07595,-89.3895",-89.3895,43.07595,nick@herbiery.com,(630) 881-0005,https://www.herbiery.com,"Herbiery creates beer with herbs and spices in place of hops. Beer is better when ingredients are sustainable and sourced locally, so that's what we do. Herbiery does not have a retail location - visit our website to see where you can find our beer!"
REAP Atlas,2022,Restaurant/Bakery,Heritage Tavern,131 E. Mifflin St Madison WI 53703,"https://www.google.com/maps/dir//43.07678,-89.3832",-89.3832,43.07678,Information unavailable,(608) 283-9500,https://www.heritagetavern.com,"In an Old World ambiance, one block off of Madisons Capitol Square, Wisconsins finest ingredients meet global inspiration, culinary excellence, and expertly crafted cocktails."
REAP Atlas,2022,Farmers' Market,Hilldale Farmers' Market,702 N. Midvale Blvd Madison WI 535705,"https://www.google.com/maps/dir//43.07287,-89.453",-89.453,43.07287,hilldale@wsdevelopment.com,(608) 209-7130,http://hilldale.com/info/farmersmarket,"Enjoy the freshest of the fresh throughout the growing season. Up to 60 vendors! Plenty of locally grown fruits and; veggies, farm fresh eggs, cheeses, meats, baked goods, honey, maple syrup, farm ingredient bath and body products, jams and; MORE! Enjoy hot prepared meals and live music too. We provide a fun atmosphere and plenty of parking adjacent to market. Voted Madison Best Farmers market (not including the downtown market) for 4 years running. Accepts WIC|Accepts Senior FMNP|Outdoor"
REAP Atlas,2022,Farm/Producer,"Homestead Sheep and Cattle Company, LLC",7743 WI-69 Belleville WI 53508,"https://www.google.com/maps/dir//42.86425,-89.5956",-89.5956,42.86425,brit.homesteadwisconsin@gmail.com,(608) 712-0997,www.homesteadwisconsin.com,"Our farm focuses on raising grass-fed and grass-finished beef and lamb. We are first generation farmers who are passionate about fostering the connection you have with your food and the hands who raise it. We love sharing our farm through our on-farm store, tours, social media and our blog. Through these avenues we hope to connect with our community and promote responsible animal husbandry and regenerative agriculture. Customers can shop all of our products online and receive free delivery within the Madison Area."
REAP Atlas,2022,Restaurant/Bakery,Ian's Pizza - Frances Street,319 N. Frances St Madison WI 53703,"https://www.google.com/maps/dir//43.07282,-89.3956",-89.3956,43.07282,319nfrances@ianspizza.com,(608) 257-9248,https://www.ianspizza.com,"Ian's Pizza specializes in pizza by the slice and works closely with local farmers and the farmers market to offer one of the best and unique salad stations around. We have a team of food ""masterminds"" that showcase their new recipes in our weekly special slices and seasonal slices and salads."
REAP Atlas,2022,Restaurant/Bakery,Ian's Pizza - State Street,100 State St Madison WI 53703,"https://www.google.com/maps/dir//43.07488,-89.387",-89.387,43.07488,100state@ianspizza.com,(608) 257-9248,https://www.ianspizza.com,"Ian's Pizza specializes in pizza by the slice and works closely with local farmers and the farmers market to offer one of the best and unique salad stations around. We have a team of food ""masterminds"" that showcase their new recipes in our weekly special slices and seasonal slices and salads."
REAP Atlas,2022,Restaurant/Bakery,Ian's Pizza- Garver Feed Mill,3241 Garver Grn Madison WI 53704,"https://www.google.com/maps/dir//43.09463,-89.3342",-89.3342,43.09463,garver@ianspizza.com,(608) 257-9248,https://www.ianspizza.com,"Check out our new location in the Garver Feed Mill! Ian's Pizza specializes in pizza by the slice and works closely with local farmers and the farmers market to offer one of the best and unique salad stations around. We have a team of food ""masterminds"" that showcase their new recipes in our weekly special slices and seasonal slices and salads."
REAP Atlas,2022,Business/Organization,Intertribal Agriculture Council,2890 Terra Ct Sun Prairie WI 53590,"https://www.google.com/maps/dir//43.15576,-89.2718",-89.2718,43.15576,dan@indianag.org,(608) 280-1267,https://iacgreatlakes.com/,The Intertribal Agriculture Council is a national nonprofit working to promote Native American agriculture. Learn more at https://www.indianag.org/.
REAP Atlas,2022,Retail,Just Coffee Co-op,3701 Orin Rd Madison WI 53704,"https://www.google.com/maps/dir//43.1226,-89.3243",-89.3243,43.1226,info@justcoffee.coop,(608) 204-9011,https://justcoffee.coop,"Since 2002, justice has been our durable promise - from every hand we shake to every bean we roast. Just Coffee Cooperative is located on Madisons east side, providing artisan roasted organic coffee for cafes, grocers, and grocery cooperatives nationally. You can also find our coffee online at justcoffee.coop."
REAP Atlas,2022,Restaurant/Bakery,LEtoile,1 S. Pinckney St Madison WI 53703,"https://www.google.com/maps/dir//43.07564,-89.3822",-89.3822,43.07564,information@letoile-restaurant.com,(608) 251-0500,https://www.letoile-restaurant.com,"Founded in 1976 by Odessa Piper, L'Etoile continues it's locally-sourced mission year round under Chef Tory Miller. Join us for our seasonal Tasting Menu or an a la carte favorite, all in view of Madison's beautiful Capitol building. Perfect for that special occasion or any everyday celebration!"
REAP Atlas,2022,Retail,Landmark Creamery Provisions,6895 Paoli Rd Belleville WI 53508,"https://www.google.com/maps/dir//42.92898,-89.5261",-89.5261,42.92898,alandmark@landmarkcreamery.com,(608) 886-8801,https://www.landmarkcreamery.com,"Lush sheep milk and buttery grass-fed cow milk are used to carefully create unique cheeses that represent the terroir of Southern Wisconsin. Visit our retail store in Paoli, Wis. or order from our website! Local delivery within the Madison area."
REAP Atlas,2022,Restaurant/Bakery,Liliana's Restaurant,2951 Triverton Pike Dr Fitchburg WI 53719,"https://www.google.com/maps/dir//43.01527,-89.4301",-89.4301,43.01527,daveheide@lilianasrestaurant.com,(608) 442-4444,https://lilianasrestaurant.com,"At the intersection of New Orleans and Madison lies Liliana's. They're known for great New Orleans cooking traditions and what they serve is fresh from Madison-area farms - both meat and produce. Liliana's is a Wine Spectator Award winner, offering an extensive wine list. Liliana's is not just locally owned and operated, the owners are also deeply connected to the community"
REAP Atlas,2022,Restaurant/Bakery,Lombardinos,2500 University Ave Madison WI 53705,"https://www.google.com/maps/dir//43.07231,-89.4289",-89.4289,43.07231,Information unavailable,(608) 238-1922,https://www.lombardinos.com,"We believe in using the best ingredients available to give our guests the finest dining experience they can find. We use a rich combination of local produce, domestic artisan products, and the best ingredients Italy has to offer to create dishes that we not only take great pride in, but also come from the heart. Wisconsins four seasons give heavy influence, with lighter dishes featured in the warmer months, and heartier comfort foods taking center-stage in the colder months."
REAP Atlas,2022,Restaurant/Bakery,Longtable Beer Cafe,7545 Hubbard Ave Middleton WI 53562,"https://www.google.com/maps/dir//43.11568,-89.5222",-89.5222,43.11568,longtablemiddleton@gmail.com,(608) 841-2337,https://longtablebeercafe.com,"Longtable Beer Cafe sources products from many local farms and artisan purveyors to provide a delicious menu of house-smoked BBQ, grass-fed beef burgers, cheeseboards and more. Our open cooler features a carefully curated selection of 300 craft beers, all available for carry out. Outdoor patio dining is open year-round with fire pit tables."
REAP Atlas,2022,Farm/Producer,Lovefood Farm,1679 Pleasant Hill Rd Stoughton WI 53589,"https://www.google.com/maps/dir//42.93523,-89.1716",-89.1716,42.93523,farmer@lovefood.farm,(608) 217-5387,https://www.lovefoodfarm.com,"Lovefood Farm is a family run certified organic market farm that grows for CSA as well as farmers markets, grocery stores, and restaurants. We grow a wide variety of vegetables and herbs and pride ourselves on sending out nutritious, fresh food that has a great shelf life."
REAP Atlas,2022,Restaurant/Bakery,Lucille,101 King St Madison WI 53703,"https://www.google.com/maps/dir//43.07442,-89.3814",-89.3814,43.07442,info@lucillemadison.com,(608) 283-0000,https://lucillemadison.com,"Lucille is a tri-level fresh cocktail, craft beer, pizza, and shared platters venue located at the gateway of Madisons historic culinary and entertainment center - the First Settlement of Madison, WI. Executive Chef Gorman Hayes' locally-sourced, yet globally inspired menu features wood-fired pizza, Wisco-Detroit cheddar-crusted steel pan pizza and artfully crafted Pan-Latin cuisine."
REAP Atlas,2022,Business/Organization,Lussier Community Education Center,55 S. Gammon Rd Madison WI 53717,"https://www.google.com/maps/dir//43.06645,-89.502",-89.502,43.06645,shawna@lcecmadison.org,(608) 833-4979,https://lcecmadison.org/eat/pantry/,"The Lussier Community Education Center is a place for people from different walks of life to come together, share gifts, and build community. The Lussier Food Pantry is open two days a week (Wednesday 7-8pm and; Saturday 11am-12pm) and offers shoppers nutritionally balanced food items up to 20 times per year."
REAP Atlas,2022,Business/Organization,Madison Area Food Pantry Gardens,7492 W. Old Sauk Rd Verona WI 53593,"https://www.google.com/maps/dir//43.07568,-89.5676",-89.5676,43.07568,matt@foodpantrygardens.org,(530) 650-5301,https://foodpantrygardens.org,"The Madison Area Food Pantry Gardens is a Madison-based 501(c)(3) non-profit organization dedicated to providing food pantries and emergency food programs throughout Dane County with first choice, fresh, nutritious and culturally relevant produce through our network of volunteer led gardens and harvest events on local area farms."
REAP Atlas,2022,Business/Organization,Madison College Culinary Program,1701 Wright St Madison WI 53704,"https://www.google.com/maps/dir//43.12139,-89.3289",-89.3289,43.12139,businessandappliedarts@madisoncollege.edu,(608) 258-2301,https://madisoncollege.edu,Madison College is a technical college that has locations through the Dane County region. We run a renowned Culinary Arts Program and have been at the leading edge of the good food movement for over a decade. Good food prepared well is the focus of our culinary students. Sourcing locally for our cafeterias has always been a priority and is even more so today. Recently we have partnered with REAP Food Group on their Farm to School and Farm to Institution initiatives. We strive to be on the leading edge of local sourcing on campuses.
REAP Atlas,2022,Business/Organization,Madison Metropolitan School District,4711 Pflaum Rd Madison WI 53718,"https://www.google.com/maps/dir//43.06147,-89.3004",-89.3004,43.06147,food@madison.k12.wi.us,(608) 204-4001,https://www.madison.k12.wi.us,"The Farm to School Project is a partnership between REAP Food Group and the Madison Metropolitan School District (MMSD) Food and Nutrition Department to increase the amount of locally-grown, fresh foods in district snacks and lunches, and to teach nutrition and agriculture lessons to students and staff."
REAP Atlas,2022,Restaurant/Bakery,Madison Sourdough,916 Williamson St Madison WI 53703,"https://www.google.com/maps/dir//43.07997,-89.3693",-89.3693,43.07997,Information unavailable,(608) 442-8009,https://madisonsourdough.com,"Madison Sourdough is a bakery, cafe, mill and patisserie located on Madisons near east side. We are a from-scratch bakery and restaurant committed to nourishing our community, supporting our local food systems, and sharing our love of Wisconsin grains and wild fermentation through the tastiest treats in the city."
REAP Atlas,2022,Farmers' Market,McFarland Farmers' Market,5709 US 51 McFarland WI 53558,"https://www.google.com/maps/dir//43.01569,-89.3006",-89.3006,43.01569,mcstorefms@gmail.com,(608) 873-9443,Information unavailable,"The Market is run by the vendors to provid the customers with the best local vegitables, fruits, honey, cheese curds, eggs, jams and jellies. New this year Supreme Seafood. Accepts WIC|Accepts Senior FMNP|Indoor|Outdoor"
REAP Atlas,2022,Restaurant/Bakery,Merchant,121 S. Pinckney St Madison WI 53703,"https://www.google.com/maps/dir//43.07424,-89.381",-89.381,43.07424,info@merchantmadison.com,(608) 259-9799,https://www.merchantmadison.com,"Merchant is a casual farm-to-table restaurant and liquor store serving local fare, craft cocktails, wine, beer, and good times,"
